Day,Preclose,Open,Highest,Lowest,Close
1990/12/19,        ,96.05,99.98,95.79,99.98
1990/12/20,99.98,104.3,104.39,99.98,104.39
1990/12/21,104.39,109.07,109.13,103.73,109.13
1990/12/24,109.13,113.57,114.55,109.13,114.55
1990/12/25,114.55,120.09,120.25,114.55,120.25
1990/12/26,120.25,125.27,125.27,120.25,125.27
1990/12/27,125.27,125.27,125.28,125.27,125.28
1990/12/28,125.28,126.39,126.45,125.28,126.45
1990/12/31,126.45,126.56,127.61,126.48,127.61
1991/1/2,127.61,127.61,128.84,127.61,128.84
1991/1/3,128.84,128.84,130.14,128.84,130.14
1991/1/4,130.14,131.27,131.44,130.14,131.44
1991/1/7,131.44,131.99,132.06,131.45,132.06
1991/1/8,132.06,132.62,132.68,132.06,132.68
1991/1/9,132.68,133.3,133.34,132.68,133.34
1991/1/10,133.34,133.93,133.97,133.34,133.97
1991/1/11,133.97,134.61,134.61,134.51,134.6
1991/1/14,134.6,134.11,135.19,134.11,134.67
1991/1/15,134.67,134.21,134.74,134.19,134.74
1991/1/16,134.74,134.19,134.74,134.14,134.24
1991/1/17,134.24,133.67,134.25,133.65,134.25
1991/1/18,134.25,133.7,134.25,133.67,134.24
1991/1/21,134.24,133.7,134.24,133.66,134.24
1991/1/22,134.24,133.72,134.24,133.66,133.72
1991/1/23,133.72,133.17,133.72,133.14,133.17
1991/1/24,133.17,132.61,133.17,132.57,132.61
1991/1/25,132.61,132.05,132.07,132.03,132.05
1991/1/28,132.05,131.46,131.55,131.46,131.46
1991/1/29,131.46,130.95,130.97,130.95,130.95
1991/1/30,130.95,130.44,130.95,130.41,130.44
1991/1/31,130.44,129.93,130.46,129.93,129.97
1991/2/1,129.97,129.5,129.97,129.45,129.51
1991/2/4,129.51,129.05,129.58,129.05,129.05
1991/2/5,129.05,128.56,128.58,128.53,128.58
1991/2/6,128.58,129.13,129.15,128.06,129.14
1991/2/7,129.14,129.74,129.79,129.14,129.79
1991/2/8,129.79,130.36,130.39,129.79,130.38
1991/2/11,130.38,130.92,130.97,130.39,130.97
1991/2/12,130.97,131.54,131.56,130.97,131.35
1991/2/13,131.35,131.93,131.93,131.35,131.92
1991/2/14,131.92,132.53,132.53,132.3,132.53
1991/2/19,132.53,133.12,133.14,133.08,133.13
1991/2/20,133.13,133.63,133.67,133.13,133.67
1991/2/21,133.67,134.24,134.28,133.67,134.28
1991/2/22,134.28,134.85,134.87,134.28,134.87
1991/2/25,134.87,134.37,134.87,134.33,134.4
1991/2/26,134.4,133.9,134.44,133.9,133.93
1991/2/27,133.93,133.44,133.98,133.44,133.47
1991/2/28,133.47,132.99,133.52,132.98,133.01
1991/3/1,133.01,132.53,132.53,132.47,132.53
1991/3/4,132.53,132.09,132.09,131.98,131.99
1991/3/5,131.99,131.42,131.99,131.41,131.46
1991/3/6,131.46,130.89,130.95,130.89,130.94
1991/3/7,130.94,130.41,130.94,130.41,130.41
1991/3/8,130.41,129.84,130.41,129.84,129.89
1991/3/11,129.89,129.3,129.89,129.3,129.31
1991/3/12,129.31,128.73,129.31,128.73,128.77
1991/3/13,128.77,126.13,128.77,126.13,126.15
1991/3/14,126.15,125.61,126.15,125.61,125.63
1991/3/15,125.63,125.08,125.62,125.08,125.17
1991/3/18,125.17,124.7,125.17,124.69,124.71
1991/3/19,124.71,124.23,124.71,124.22,124.22
1991/3/20,124.22,123.66,124.21,123.63,123.66
1991/3/21,123.66,123.14,123.66,123.12,123.12
1991/3/22,123.12,122.62,123.12,122.62,122.62
1991/3/25,122.62,122.12,122.62,122.1,122.12
1991/3/26,122.12,121.62,122.14,121.62,121.62
1991/3/27,121.62,121.12,121.64,121.12,121.12
1991/3/28,121.12,120.65,121.15,120.61,120.61
1991/3/29,120.61,120.16,120.61,120.11,120.19
1991/4/1,120.19,120.69,120.73,119.68,120.73
1991/4/2,120.73,121.21,121.29,120.73,121.21
1991/4/3,121.21,121.71,121.71,121.21,121.71
1991/4/4,121.71,122.2,122.2,121.24,121.72
1991/4/5,121.72,121.07,121.73,121.03,121.54
1991/4/8,121.54,121.11,121.11,121.05,121.09
1991/4/9,121.09,120.6,121.1,120.6,120.62
1991/4/10,120.62,120.15,120.62,120.09,120.16
1991/4/11,120.16,119.64,120.16,119.62,119.64
1991/4/12,119.64,119.2,119.65,119.15,119.21
1991/4/15,119.21,118.73,119.22,118.72,118.77
1991/4/16,118.77,118.36,118.77,118.34,118.34
1991/4/17,118.34,117.92,118.34,117.89,117.9
1991/4/18,117.9,117.45,117.93,117.45,117.45
1991/4/19,117.45,117.08,117.5,117.05,117.08
1991/4/22,117.08,116.63,117.08,116.58,116.63
1991/4/23,116.63,116.21,116.63,116.15,116.19
1991/4/24,116.19,115.7,116.19,115.7,115.79
1991/4/25,115.79,115.38,115.79,115.33,115.36
1991/4/26,115.36,116.31,116.31,114.52,115.56
1991/4/29,115.56,114.86,116.29,114.75,114.75
1991/4/30,114.75,113.89,114.87,113.89,113.94
1991/5/2,113.94,113.04,113.2,113.03,113.16
1991/5/3,113.16,112.46,113.17,112.3,112.41
1991/5/6,112.41,111.65,112.41,111.57,111.61
1991/5/7,111.61,110.8,110.9,110.8,110.82
1991/5/8,110.82,110.16,110.82,110,110.03
1991/5/9,110.03,109.36,110.12,109.29,109.29
1991/5/10,109.29,108.61,109.4,108.53,108.53
1991/5/13,108.53,107.88,107.88,107.74,107.84
1991/5/14,107.84,107.21,107.84,107.06,107.19
1991/5/15,107.19,106.56,106.6,106.42,106.57
1991/5/16,106.57,105.83,105.86,105.69,105.77
1991/5/17,105.77,105.12,106.75,104.96,106.75
1991/5/20,106.75,107.76,107.82,106.71,107.82
1991/5/21,107.82,108.89,108.89,108.62,108.81
1991/5/22,108.81,109.71,109.82,108.11,108.25
1991/5/23,108.25,107.52,109.16,107.35,109.08
1991/5/24,109.08,110.07,110.08,109.82,110.08
1991/5/27,110.08,111.05,111.07,109.47,110.66
1991/5/28,110.66,111.61,111.68,111.36,111.68
1991/5/29,111.68,112.75,112.75,111.67,112.75
1991/5/30,112.75,113.74,113.82,112.77,113.82
1991/5/31,113.82,114.83,114.83,113.84,114.83
1991/6/3,114.83,115.9,115.97,114.89,115.97
1991/6/4,115.97,117.12,117.12,116.83,117.12
1991/6/5,117.12,118.17,118.17,117.14,118.17
1991/6/6,118.17,119.26,119.35,118.17,119.35
1991/6/7,119.35,120.46,120.47,119.35,120.47
1991/6/10,120.47,121.65,121.67,120.47,121.67
1991/6/11,121.67,122.89,122.89,121.67,122.89
1991/6/12,122.89,123.9,124.11,122.89,124.11
1991/6/13,124.11,125.33,125.34,123.65,125.34
1991/6/14,125.34,124.47,126.34,124.47,124.53
1991/6/17,124.53,125.63,125.77,123.54,125.77
1991/6/18,125.77,127.03,127.03,126.67,127.03
1991/6/19,127.03,128.12,128.29,127.03,128.29
1991/6/20,128.29,129.55,129.57,129.21,129.57
1991/6/21,129.57,130.72,130.86,128.81,130.86
1991/6/24,130.86,132.1,132.17,131.8,132.17
1991/6/25,132.17,133.48,133.49,132.17,133.49
1991/6/26,133.49,134.83,134.83,133.49,134.83
1991/6/27,134.83,136.04,136.19,134.83,136.19
1991/6/28,136.19,137.41,137.56,136.19,137.56
1991/7/1,137.56,136.64,138.62,136.56,136.85
1991/7/2,136.85,135.91,135.96,135.69,135.96
1991/7/3,135.96,135.28,135.96,134.98,135.27
1991/7/4,135.27,136.63,136.63,134.19,136.63
1991/7/5,136.63,136.01,137.68,135.9,135.96
1991/7/8,135.96,135.26,135.28,134.93,135.28
1991/7/9,135.28,136.56,136.57,134.31,134.64
1991/7/10,134.64,134.4,135.6,133.72,133.99
1991/7/11,133.99,133.22,133.99,133.13,133.38
1991/7/12,133.38,132.8,133.38,132.42,132.8
1991/7/15,132.8,133.9,134.1,131.87,133.14
1991/7/16,133.14,134.39,134.47,133.14,134.47
1991/7/17,134.47,135.81,135.81,135.39,135.81
1991/7/18,135.81,137.17,137.17,135.81,137.17
1991/7/19,137.17,137.66,138.54,136.66,136.7
1991/7/22,136.7,138.07,138.07,136.7,138.07
1991/7/23,138.07,139.35,139.39,138.07,139.39
1991/7/24,139.39,140.66,140.74,138.69,140.68
1991/7/25,140.68,140.2,141.01,139.99,140.19
1991/7/26,140.19,140.11,141.46,139.27,140.66
1991/7/29,140.66,141.22,141.72,140.81,141.52
1991/7/30,141.52,142.39,142.45,141.39,142.39
1991/7/31,142.39,143.72,143.8,142.39,143.8
1991/8/1,143.8,145.12,145.24,143.8,145.24
1991/8/2,145.24,146.49,146.68,145.44,146.68
1991/8/5,146.68,148.06,148.15,146.68,148.15
1991/8/6,148.15,149.62,149.62,148.15,149.62
1991/8/7,149.62,150.93,151.12,149.62,151.12
1991/8/8,151.12,152.57,152.61,151.12,152.61
1991/8/9,152.61,153.9,154.1,152.61,154.1
1991/8/12,154.1,155.34,155.54,154.1,155.54
1991/8/13,155.54,156.87,157.07,155.54,157.07
1991/8/14,157.07,158.3,158.63,158.11,158.63
1991/8/15,158.63,159.92,160.21,158.63,160.21
1991/8/16,160.21,161.56,161.6,160.21,161.6
1991/8/19,161.6,163.21,163.21,161.6,163.21
1991/8/20,163.21,164.74,164.84,163.21,164.84
1991/8/21,164.84,166.49,166.49,164.84,166.49
1991/8/22,166.49,167.81,168.16,166.49,168.16
1991/8/23,168.16,169.81,169.81,168.16,169.81
1991/8/26,169.81,171.51,171.51,169.81,171.51
1991/8/27,171.51,173.06,173.19,171.51,173.19
1991/8/28,173.19,174.82,174.92,173.19,174.92
1991/8/29,174.92,176.53,176.66,174.92,176.66
1991/8/30,176.66,178.2,178.43,176.66,178.43
1991/9/2,178.43,180.08,180.22,178.43,180.22
1991/9/3,180.22,181.71,181.97,180.22,181.97
1991/9/4,181.97,183.66,183.69,181.97,183.69
1991/9/5,183.69,185.48,185.51,183.69,185.51
1991/9/6,185.51,187.09,187.36,185.51,187.36
1991/9/9,187.36,189.1,189.24,187.36,189.24
1991/9/10,189.24,190.98,190.98,188.19,188.33
1991/9/11,188.33,187.29,187.29,186.86,187.22
1991/9/12,187.22,186.22,187.4,186.07,186.22
1991/9/13,186.22,188,188.04,185.01,187.79
1991/9/16,187.79,189.55,189.66,187.79,189.66
1991/9/17,189.66,191.16,191.18,188.28,188.65
1991/9/18,188.65,187.26,188.59,187.18,187.63
1991/9/19,187.63,187.65,189.21,186.49,186.88
1991/9/20,186.88,185.77,187.21,185.66,185.92
1991/9/23,185.92,185,185.92,184.71,185
1991/9/24,185,183.96,185.04,183.69,184.08
1991/9/25,184.08,182.8,184.08,182.8,183.19
1991/9/26,183.19,182.21,183.19,181.93,182.33
1991/9/27,182.33,183.12,183.89,181.19,181.82
1991/9/30,181.82,180.28,181.95,180.27,180.92
1991/10/3,180.92,181.55,182.48,179.8,182.48
1991/10/4,182.48,184.29,184.29,183.59,184.29
1991/10/7,184.29,185.95,186,185.41,186
1991/10/8,186,187.59,187.61,186,187.49
1991/10/9,187.49,188.49,189.12,186.31,189.12
1991/10/10,189.12,190.71,191.01,189.12,191.01
1991/10/11,191.01,192.84,192.88,191.01,192.85
1991/10/14,192.85,194.06,194.69,192.32,194.67
1991/10/15,194.67,196.58,196.61,194.67,196.61
1991/10/16,196.61,198.51,198.57,196.61,198.57
1991/10/17,198.57,200.5,200.51,198.57,200.51
1991/10/18,200.51,202.5,202.51,200.51,202.51
1991/10/21,202.51,204.53,204.53,202.51,204.53
1991/10/22,204.53,206.06,206.53,204.53,206.53
1991/10/23,206.53,208.06,208.25,206.53,208.25
1991/10/24,208.25,210.2,210.2,208.25,210.07
1991/10/25,210.07,210.34,211.97,209.71,211.86
1991/10/28,211.86,213.5,213.98,211.86,213.98
1991/10/29,213.98,215.63,215.78,213.98,215.78
1991/10/30,215.78,216.37,216.43,215.78,216.43
1991/10/31,216.43,218.59,218.6,216.43,218.6
1991/11/1,218.6,220.71,220.72,218.6,220.72
1991/11/4,220.72,222.77,222.77,220.79,222.77
1991/11/5,222.77,224.44,224.65,222.77,224.65
1991/11/6,224.65,226.83,226.88,224.65,226.88
1991/11/7,226.88,228.93,228.93,226.88,228.93
1991/11/8,228.93,230.99,231.22,228.93,231.22
1991/11/11,231.22,233.48,233.55,231.22,233.55
1991/11/12,233.55,235.75,235.8,233.55,235.8
1991/11/13,235.8,236.51,236.67,235.8,236.67
1991/11/14,236.67,237.39,237.45,236.67,237.45
1991/11/15,237.45,238.25,238.25,237.45,238.25
1991/11/18,238.25,240.04,240.62,238.25,240.62
1991/11/19,240.62,242.24,242.24,240.62,242.24
1991/11/20,242.24,244.5,244.5,242.24,244.5
1991/11/21,244.5,246.26,246.31,244.5,246.31
1991/11/22,246.31,248.24,248.53,246.31,248.53
1991/11/25,248.53,250.84,250.85,248.53,250.85
1991/11/26,250.85,252.9,252.97,250.85,252.97
1991/11/27,252.97,255.27,255.45,252.97,255.45
1991/11/28,255.45,257.28,257.35,255.45,257.35
1991/11/29,257.35,259.68,259.85,257.35,259.6
1991/12/2,259.6,261.78,262.19,259.67,262.19
1991/12/3,262.19,264.64,264.81,262.19,264.81
1991/12/4,264.81,265.53,265.77,264.81,265.77
1991/12/5,265.77,266.48,266.66,265.77,266.66
1991/12/6,266.66,269.34,269.35,266.66,269.35
1991/12/9,269.35,270.27,270.27,269.35,270.27
1991/12/10,270.27,270.27,272.91,270.27,272.91
1991/12/11,272.91,273.53,273.71,272.91,273.71
1991/12/12,273.71,274.41,274.41,273.71,274.41
1991/12/13,274.41,276.81,277,274.41,277
1991/12/16,277,277.53,277.85,277,277.85
1991/12/17,277.85,278.67,278.68,277.85,278.68
1991/12/18,278.68,279.32,279.51,278.68,279.51
1991/12/19,279.51,279.98,280.17,279.51,280.17
1991/12/20,280.17,282.83,282.83,280.63,282.83
1991/12/23,282.83,285.65,285.65,282.83,285.65
1991/12/24,285.65,285.74,286.22,285.65,286.22
1991/12/25,286.22,287.09,287.15,286.22,287.15
1991/12/26,287.15,288.03,288.03,287.15,288.03
1991/12/27,288.03,290.65,290.85,288.03,290.85
1991/12/30,290.85,291.71,291.71,290.85,291.71
1991/12/31,291.71,292.48,292.75,291.71,292.75
1992/1/2,292.75,293.74,293.75,292.76,293.75
1992/1/3,293.75,296.24,296.52,293.75,296.52
1992/1/6,296.52,297.68,297.68,296.52,297.68
1992/1/7,297.68,298.54,298.77,297.68,298.77
1992/1/8,298.77,299.65,299.66,298.77,299.66
1992/1/9,299.66,300.61,300.62,299.66,300.62
1992/1/10,300.62,301.82,301.83,300.62,301.83
1992/1/13,301.83,302.83,303.06,302,303.06
1992/1/14,303.06,304.77,305.74,303.06,305.74
1992/1/15,305.74,306.62,306.63,305.74,306.63
1992/1/16,306.63,306.85,306.85,306.63,306.85
1992/1/17,306.85,307.37,307.38,306.85,307.38
1992/1/20,307.38,307.38,307.39,307.38,307.39
1992/1/21,307.39,307.87,307.87,307.39,307.87
1992/1/22,307.87,307.95,307.95,307.87,307.95
1992/1/23,307.95,308.53,308.53,307.95,308.53
1992/1/24,308.53,309.05,309.05,308.53,309.05
1992/1/27,309.05,311.6,311.61,309.05,311.61
1992/1/28,311.61,311.67,311.84,311.61,311.84
1992/1/29,311.84,312.41,312.58,311.84,312.42
1992/1/30,312.42,312.73,312.73,312.42,312.73
1992/1/31,312.73,313.24,313.24,312.73,313.24
1992/2/3,313.24,314.18,314.18,313.24,314.18
1992/2/7,314.18,314.72,314.72,314.18,314.72
1992/2/10,314.72,315.55,315.56,314.72,315.56
1992/2/11,315.56,316.12,316.43,315.56,316.43
1992/2/12,316.43,316.43,316.44,316.43,316.44
1992/2/13,316.44,317.24,317.57,317.04,317.04
1992/2/14,317.04,319.45,319.68,317.04,319.68
1992/2/17,319.68,319.77,319.77,319.68,319.77
1992/2/18,319.77,338.98,339.16,319.77,337.11
1992/2/19,337.11,340.5,342.41,337.11,342.41
1992/2/20,342.41,345.22,348.01,342.41,347.99
1992/2/21,347.99,358.91,359.93,347.99,359.59
1992/2/24,359.59,361.11,361.62,359.59,360.5
1992/2/25,360.5,359.66,361.29,357.07,360.37
1992/2/26,360.37,359.85,360.76,359.27,360.1
1992/2/27,360.1,361,363.03,360.1,362.45
1992/2/28,362.45,364.15,364.67,362.45,364.66
1992/3/2,364.66,365.15,365.39,364.66,365.39
1992/3/3,365.39,366.79,367.25,365.39,367
1992/3/4,367,367.56,368.32,366.95,368.32
1992/3/5,368.32,369.31,369.88,368.11,369.76
1992/3/6,369.76,370.79,371.76,369.76,371.76
1992/3/9,371.76,372.26,374.06,371.88,373.53
1992/3/10,373.53,374.48,375.23,373.53,375.23
1992/3/11,375.23,375.87,376.25,374.98,376.14
1992/3/12,376.14,377.55,377.57,376.14,376.92
1992/3/13,376.92,376.58,377.19,376.38,376.38
