"","month","pd"
"1",12 1990,NA
"2", 1 1991,NA
"3", 2 1991,NA
"4", 3 1991,NA
"5", 4 1991,NA
"6", 5 1991,NA
"7", 6 1991,NA
"8", 7 1991,NA
"9", 8 1991,NA
"10", 9 1991,NA
"11",10 1991,NA
"12",11 1991,Inf
"13",12 1991,Inf
"14", 1 1992,Inf
"15", 2 1992,Inf
"16", 3 1992,14.370797015791
"17", 4 1992,14.8590867766066
"18", 5 1992,15.4256928796115
"19", 6 1992,15.3711060250861
"20", 7 1992,15.8157486757265
"21", 8 1992,15.6613588792716
"22", 9 1992,15.5936122773125
"23",10 1992,15.3896102633774
"24",11 1992,15.5715884900065
"25",12 1992,15.3192740222374
"26", 1 1993,15.6283230900377
"27", 2 1993,15.8382590448015
"28", 3 1993,14.2995684460809
"29", 4 1993,14.511297212155
"30", 5 1993,14.2014878823531
"31", 6 1993,14.1566919939851
"32", 7 1993,14.0618110258999
"33", 8 1993,14.2013455702142
"34", 9 1993,14.1642037374766
"35",10 1993,14.194007837768
"36",11 1993,14.4531804532533
"37",12 1993,14.4195155425757
"38", 1 1994,13.9786017717083
"39", 2 1994,14.0642319005198
"40", 3 1994,14.3468180740353
"41", 4 1994,13.4081012646648
"42", 5 1994,12.1788040859396
"43", 6 1994,11.652570312933
"44", 7 1994,11.3728354329933
"45", 8 1994,12.0432279224901
"46", 9 1994,12.0890736271349
"47",10 1994,11.85513735414
"48",11 1994,11.8519453373924
"49",12 1994,11.7409380945831
"50", 1 1995,11.6635506091671
"51", 2 1995,11.6601386522831
"52", 3 1995,11.7981940565723
"53", 4 1995,11.5870577019623
"54", 5 1995,11.5897522404418
"55", 6 1995,11.4321515751015
"56", 7 1995,11.3214676386751
"57", 8 1995,11.3608939061666
"58", 9 1995,11.3171228814636
"59",10 1995,11.3487626018754
"60",11 1995,11.2969538835362
"61",12 1995,11.2070579522013
"62", 1 1996,11.1799171618601
"63", 2 1996,11.2182148937625
"64", 3 1996,11.2532529886501
"65", 4 1996,11.6863592688476
"66", 5 1996,11.9624878923194
"67", 6 1996,11.9642970128975
"68", 7 1996,12.0462166537613
"69", 8 1996,12.0148525951431
"70", 9 1996,12.1195766759282
"71",10 1996,12.3781089673332
"72",11 1996,12.5271503335108
"73",12 1996,12.378059165664
"74", 1 1997,12.4920276008295
"75", 2 1997,12.570610304347
"76", 3 1997,12.7435168393519
"77", 4 1997,12.9072136844456
"78", 5 1997,12.8829080309647
"79", 6 1997,13.0235832971652
"80", 7 1997,12.9843234684592
"81", 8 1997,13.0589799131451
"82", 9 1997,12.9802203601572
"83",10 1997,13.1213679873096
"84",11 1997,13.1090877552134
"85",12 1997,13.1804673999064
"86", 1 1998,13.2227471318761
"87", 2 1998,13.2129151364819
"88", 3 1998,13.2684235622599
"89", 4 1998,13.322351639567
"90", 5 1998,13.370587006431
"91", 6 1998,13.1074775814118
"92", 7 1998,13.1692033022287
"93", 8 1998,12.6953012955007
"94", 9 1998,12.7594257277775
"95",10 1998,12.7536742561962
"96",11 1998,12.778250183047
"97",12 1998,12.6963419923376
"98", 1 1999,12.6761999981068
"99", 2 1999,12.6361744612737
"100", 3 1999,12.7112619783567
"101", 4 1999,12.7057044691203
"102", 5 1999,12.8492094633156
"103", 6 1999,13.1164614960724
"104", 7 1999,13.0001931656641
"105", 8 1999,13.1195439241621
"106", 9 1999,13.1150778655313
"107",10 1999,13.0828844168245
"108",11 1999,13.0716798726924
"109",12 1999,13.0493274719984
"110", 1 2000,13.2428753392044
"111", 2 2000,13.3590374640225
"112", 3 2000,13.4245197986023
"113", 4 2000,13.4070942986019
"114", 5 2000,13.3061679187778
"115", 6 2000,13.3366019600592
"116", 7 2000,13.1886789818306
"117", 8 2000,13.1765900123424
"118", 9 2000,13.1349200850029
"119",10 2000,13.1504170840986
"120",11 2000,13.2266975369472
"121",12 2000,13.2435086560692
"122", 1 2001,13.2521464549403
"123", 2 2001,13.213049383933
"124", 3 2001,13.2628186343127
"125", 4 2001,13.1542407660144
"126", 5 2001,12.9099922309851
"127", 6 2001,12.5866299020985
"128", 7 2001,12.4288024542109
"129", 8 2001,12.4106017661036
"130", 9 2001,12.3647370585796
"131",10 2001,12.3119891418412
"132",11 2001,12.3443018415838
"133",12 2001,12.290311137172
"134", 1 2002,12.1787742200696
"135", 2 2002,12.2111267082383
"136", 3 2002,12.2963388004037
"137", 4 2002,12.3433972102936
"138", 5 2002,12.3082196302042
"139", 6 2002,12.4796292227326
"140", 7 2002,12.2835178246036
"141", 8 2002,12.2773889121573
"142", 9 2002,12.2275223012204
"143",10 2002,12.1953023480716
"144",11 2002,12.1383444661445
"145",12 2002,12.0993194290434
"146", 1 2003,12.1990844432589
"147", 2 2003,12.2111877667256
"148", 3 2003,12.1949898207509
"149", 4 2003,12.1405605058656
"150", 5 2003,12.2034014773625
"151", 6 2003,11.9650578686999
"152", 7 2003,11.9837152662862
"153", 8 2003,11.9529970579485
"154", 9 2003,11.9087784139973
"155",10 2003,11.8684462102546
"156",11 2003,11.8611917193648
"157",12 2003,11.8971925147877
"158", 1 2004,11.976264303144
"159", 2 2004,12.0447854238263
"160", 3 2004,12.0574162528731
"161", 4 2004,11.9200070160051
"162", 5 2004,11.8053898684381
"163", 6 2004,11.6392068211507
"164", 7 2004,11.651812808594
"165", 8 2004,11.6393049167288
"166", 9 2004,11.6957324830671
"167",10 2004,11.6173765264635
"168",11 2004,11.6743268305822
"169",12 2004,11.6065508998611
"170", 1 2005,11.550062148219
"171", 2 2005,11.6432503473442
"172", 3 2005,11.561142904083
"173", 4 2005,11.5355954786823
"174", 5 2005,11.3362763607387
"175", 6 2005,11.2321018324782
"176", 7 2005,11.1575435786243
"177", 8 2005,11.2096691607759
"178", 9 2005,11.2197076606653
"179",10 2005,11.1794117211609
"180",11 2005,11.1572227624385
"181",12 2005,11.2062663508241
"182", 1 2006,11.2880902908902
"183", 2 2006,11.3183650305869
"184", 3 2006,11.3255393270373
"185", 4 2006,11.3907619787382
"186", 5 2006,11.5140765119725
"187", 6 2006,11.4652214719162
"188", 7 2006,11.4241386917333
"189", 8 2006,11.4789502027713
"190", 9 2006,11.4846537566209
"191",10 2006,11.5427467359487
"192",11 2006,11.6947325503427
"193",12 2006,11.8374156553712
"194", 1 2007,12.0353939910525
"195", 2 2007,12.1484296092005
"196", 3 2007,12.2849519787861
"197", 4 2007,12.5900196386198
"198", 5 2007,12.6732791773588
"199", 6 2007,12.416261314959
"200", 7 2007,12.4663911148363
"201", 8 2007,12.6040182194061
"202", 9 2007,12.7001408833167
"203",10 2007,12.7288338345672
"204",11 2007,12.605938739894
"205",12 2007,12.79126460935
"206", 1 2008,12.6948878924429
"207", 2 2008,12.7614465686252
"208", 3 2008,12.5629558240085
"209", 4 2008,12.3939543172018
"210", 5 2008,12.1655072270447
"211", 6 2008,11.7077407518726
"212", 7 2008,11.7081438155109
"213", 8 2008,11.5510541986404
"214", 9 2008,11.4439558080867
"215",10 2008,11.1380222387285
"216",11 2008,11.2578231713885
"217",12 2008,11.318337811345
"218", 1 2009,11.4556849120274
"219", 2 2009,11.5309223740679
"220", 3 2009,11.7521855522437
"221", 4 2009,11.9267084663003
"222", 5 2009,12.058776119457
"223", 6 2009,11.9311285654249
"224", 7 2009,12.0999169211659
"225", 8 2009,11.8742058125385
"226", 9 2009,11.9223571459181
"227",10 2009,12.198019029412
"228",11 2009,12.3042278753047
"229",12 2009,12.3617542924348
"230", 1 2010,12.3170705589951
"231", 2 2010,12.3573184427523
"232", 3 2010,12.379587376206
"233", 4 2010,12.2586276166469
"234", 5 2010,11.6473953425387
"235", 6 2010,11.2558719119856
"236", 7 2010,11.2735374792793
"237", 8 2010,11.3181486289596
"238", 9 2010,11.3247366170087
"239",10 2010,11.4666275702387
"240",11 2010,11.5473476295717
"241",12 2010,11.5637548112989
"242", 1 2011,11.556453629333
"243", 2 2011,11.621237771701
"244", 3 2011,11.6223806886861
"245", 4 2011,11.6405216140549
"246", 5 2011,11.8448646667755
"247", 6 2011,11.2250897623882
"248", 7 2011,11.2353536641683
"249", 8 2011,11.1936813073314
"250", 9 2011,11.0123524898262
"251",10 2011,11.0569160724362
"252",11 2011,11.0015321886123
"253",12 2011,10.9349741516576
"254", 1 2012,10.9708441104743
"255", 2 2012,11.0474633300888
"256", 3 2012,10.9845804269691
"257", 4 2012,11.0458475785381
"258", 5 2012,10.9780337262167
"259", 6 2012,10.9555165666217
"260", 7 2012,10.8193696618203
"261", 8 2012,10.7777731174603
"262", 9 2012,10.794053962031
"263",10 2012,10.7914096838437
"264",11 2012,10.7432803158269
"265",12 2012,10.8959090100673
"266", 1 2013,10.9533008460078
"267", 2 2013,10.9624289884736
"268", 3 2013,10.9067606076764
"269", 4 2013,10.8946675663377
"270", 5 2013,11.0129196718512
"271", 6 2013,10.7872214527856
"272", 7 2013,10.7352908950724
"273", 8 2013,10.7905739435133
"274", 9 2013,10.8294901139748
"275",10 2013,10.8152984223131
"276",11 2013,10.8637149527377
"277",12 2013,10.8328160862896
"278", 1 2014,10.8154160481969
"279", 2 2014,10.8277601329237
"280", 3 2014,10.815108412813
"281", 4 2014,10.8021488912356
"282", 5 2014,10.8140359649994
"283", 6 2014,10.8093782641468
"284", 7 2014,10.7075898062554
"285", 8 2014,10.728383126645
"286", 9 2014,10.8181950399381
"287",10 2014,10.827728059582
"288",11 2014,10.9212673754168
"289",12 2014,11.0814773434805
"290", 1 2015,11.0936182673697
"291", 2 2015,11.1348242252192
"292", 3 2015,11.2986901892443
"293", 4 2015,11.4576408910724
"294", 5 2015,11.4895275546116
"295", 6 2015,11.6085459499711
"296", 7 2015,11.188586763046
"297", 8 2015,11.0372220600849
"298", 9 2015,11.010494718407
"299",10 2015,11.1548317869763
"300",11 2015,11.2173504694787
"301",12 2015,11.2864052125609
"302", 1 2016,10.9999373708368
"303", 2 2016,10.9775264962945
"304", 3 2016,11.1185059551121
"305", 4 2016,11.1116027837206
"306", 5 2016,11.1335370712763
"307", 6 2016,11.1110925541327
"308", 7 2016,11.1826507768024
"309", 8 2016,11.1943983823221
"310", 9 2016,11.1916194523965
"311",10 2016,11.2316806193373
"312",11 2016,11.2811855556356
"313",12 2016,11.2474420113443
"314", 1 2017,11.260932104784
"315", 2 2017,11.2952239985866
"316", 3 2017,11.2914665042163
"317", 4 2017,11.2553458734906
"318", 5 2017,11.2288232671084
"319", 6 2017,11.2869544842223
"320", 7 2017,11.2568791845476
"321", 8 2017,11.2863927041846
"322", 9 2017,11.2950289540004
"323",10 2017,11.3111717531658
"324",11 2017,11.2976662504898
"325",12 2017,11.3064706386974
"326", 1 2018,11.3516166422976
"327", 2 2018,11.2960109730896
"328", 3 2018,11.2891920109238
"329", 4 2018,11.2708703459593
"330", 5 2018,11.1747234485276
"331", 6 2018,10.9705047224833
"332", 7 2018,10.9758698447486
"333", 8 2018,10.9235219701284
"334", 9 2018,10.9456231787431
"335",10 2018,10.8565817319295
"336",11 2018,10.8755061594111
"337",12 2018,10.8411201507934
"338", 1 2019,10.8814115873305
"339", 2 2019,11.0287444629842
"340", 3 2019,11.0936946034718
"341", 4 2019,11.088162354499
"342", 5 2019,11.0471759711639
"343", 6 2019,11.0000896675139
"344", 7 2019,10.9930961776607
"345", 8 2019,10.9932732608167
"346", 9 2019,11.0108087622137
"347",10 2019,11.0302072261412
"348",11 2019,11.0194680456043
"349",12 2019,11.0931671754191
"350", 1 2020,11.091691906321
"351", 2 2020,11.0874574195008
"352", 3 2020,11.0391444306435
"353", 4 2020,11.0987115682744
"354", 5 2020,11.1248505926739
"355", 6 2020,11.1664686218946
"356", 7 2020,11.1845686250572
"357", 8 2020,11.2127096333324
"358", 9 2020,11.1718179239886
"359",10 2020,11.1781495461604
"360",11 2020,11.2252278436944
"361",12 2020,11.2598834232755
"362", 1 2021,11.2643150923502
"363", 2 2021,11.2743581377256
"364", 3 2021,11.2504242318292
"365", 4 2021,11.2435345553655
"366", 5 2021,11.3134999295441
"367", 6 2021,11.2690813115852
"368", 7 2021,11.2199326379187
"369", 8 2021,11.2500078230333
"370", 9 2021,11.2411365082809
"371",10 2021,11.2316054282042
"372",11 2021,11.2558110763579
"373",12 2021,11.2863973284402
"374", 1 2022,11.2025366610566
"375", 2 2022,11.2345128836044
"376", 3 2022,11.1720853472783
"377", 4 2022,11.101551798575
"378", 5 2022,11.1239266642978
"379", 6 2022,11.2096594290759
"380", 7 2022,11.0180146532659
"381", 8 2022,10.9936036031977
"382", 9 2022,10.9139900188106
"383",10 2022,10.8775367999771
"384",11 2022,10.9670541375143
"385",12 2022,10.9045731852224
"386", 1 2023,10.9726463003521
"387", 2 2023,10.9806242010229
"388", 3 2023,10.9795487503131
"389", 4 2023,10.9840438933349
"390", 5 2023,10.9354742809444
"391", 6 2023,10.9026772542712
"392", 7 2023,10.8904896508014
"393", 8 2023,10.8429495700345
"394", 9 2023,10.8429717506555
"395",10 2023,10.8158282935467
"396",11 2023,10.8166442942584
"397",12 2023,10.8171509996453
"398", 1 2024,10.7296003492837
"399", 2 2024,10.8131479147006
"400", 3 2024,10.8315731619425
"401", 4 2024,10.8376548374059
"402", 5 2024,10.8387360678327
"403", 6 2024,10.7704614254931
"404", 7 2024,10.7780426781189
"405", 8 2024,10.7280481850468
"406", 9 2024,10.8899787533763
"407",10 2024,10.862945405484
"408",11 2024,10.858076362141
"409",12 2024,10.8420699266021
